sura,combined_score
1,0.948480288965196
2,0.8940488808842995
3,0.9271704262964932
4,0.8909364000149069
5,0.8759779899761244
6,0.9202766938942921
7,0.9309155711361319
8,0.9359121732180743
9,0.9127950480924525
10,0.9364587342635519
11,0.949097002590695
12,0.9436357570636643
13,0.9096541909372473
14,0.9369795959163087
15,0.9671133751579488
16,0.9536895194541642
17,0.9594940917060218
18,0.9427996867399827
19,0.9732405017206006
20,0.9608251269861035
21,0.9732750900144879
22,0.9339275803335421
23,0.9709487362862839
24,0.8963942598366892
25,0.9696588524508287
26,0.964529470170294
27,0.9657680499737455
28,0.9444772967905486
29,0.9488060047231788
30,0.9524164058128661
31,0.9411761625666989
32,0.9640507138141471
33,0.9143787561082903
34,0.9390356096519814
35,0.9307616629230653
36,0.977569647452667
37,0.9575584007108466
38,0.9633440184566312
39,0.9395403956897251
40,0.9524014636071522
41,0.9496729871056954
42,0.9351006188240147
43,0.973302836718314
44,0.9636880337321105
45,0.9635297243458478
46,0.9259387622258125
47,0.93644276558691
48,0.8993032477516338
49,0.9047240574210227
50,0.9760113516408208
51,0.9693362364403302
52,0.9618491957119646
53,0.9510233306628385
54,0.9727182264525182
55,0.959618938978376
56,0.9333402097689324
57,0.9001309918873452
58,0.8900397201325958
59,0.9162735881392234
60,0.8339554709920548
61,0.9380957878494536
62,0.949632019449465
63,0.9413718429752431
64,0.9542789486920901
65,0.8645806366746903
66,0.8970210894623197
67,0.9737546782213075
68,0.95624210034607
69,0.9530644842955596
70,0.9565812145546819
71,0.9645657020596615
72,0.9731250938139836
73,0.9485156864697324
74,0.9023354690936316
75,0.9492426135517386
76,0.9729269239419817
77,0.9461229833316785
78,0.9396016646624326
79,0.945096501962395
80,0.9036882040316624
81,0.9411209054113461
82,0.9540272177193329
83,0.9509991682842445
84,0.9508220731301287
85,0.9384212727026932
86,0.929437878441684
87,0.9439875815731029
88,0.9343346874456712
89,0.9350114891944316
90,0.9398595060965578
91,0.9457914301789407
92,0.9322963386422827
93,0.9617672693507735
94,0.9374341322874212
95,0.9466622549872687
96,0.9385142973573295
97,0.9807841969369597
98,0.9548125512204078
99,0.9556414327665734
100,0.9506410359640379
101,0.9154377616455217
102,0.9474751537134687
103,0.9683089757627794
104,0.9385580466753457
105,0.9784612842745467
106,0.976692585080282
107,0.9429673816737486
108,0.9537008889755794
109,0.9661997389034079
110,0.9782552642457366
111,0.9681123930547996
112,0.9005468214826045
113,0.9313901607998257
114,0.9029119093003573
