metric,model,mean,std,median,n
slope,char_shuffle,-1.1816260489805341,0.008097498714629645,-1.1835252392901685,30
slope,word_shuffle,-3.8587480290486247,8.881784197001252e-16,-3.858748029048624,30
slope,markov_word,-2.5436260565569326,0.02857597520972292,-2.5529007215171466,30
slope,poisson_wordcounts,-3.7298406153116024,0.061008098137848146,-3.7377485653653975,30
r2,char_shuffle,0.9919082018301445,0.00035828841859307373,0.9919831953771052,30
r2,word_shuffle,0.9043418456709905,2.220446049250313e-16,0.9043418456709903,30
r2,markov_word,0.9679496346292941,0.017548604625226342,0.9658415412363808,30
r2,poisson_wordcounts,0.9162421719353486,0.007890218006638345,0.9147093169665061,30
entropy_words,char_shuffle,9.316445871814174,0.01191653323410787,9.316635733728724,30
entropy_words,word_shuffle,5.169390204937703,1.7763568394002505e-15,5.169390204937701,30
entropy_words,markov_word,5.2811333723559635,0.003261728601063769,5.2809554499264095,30
entropy_words,poisson_wordcounts,5.1692194171564365,0.003356950703082669,5.168842393028893,30
entropy_chars,char_shuffle,4.736715408361747,0.002015557073532823,4.737028597776198,30
entropy_chars,word_shuffle,4.518092289948212,8.580618731806452e-16,4.518092289948211,30
entropy_chars,markov_word,4.534321196071699,0.0023638841089227212,4.534150432311661,30
entropy_chars,poisson_wordcounts,4.518419681868907,0.0019576157504958233,4.518320571623786,30
autocorr_lag1,char_shuffle,0.47117471725230614,0.0035063867544367164,0.4721452601670725,30
autocorr_lag1,word_shuffle,0.47573478828452614,1.1102230246251565e-16,0.47573478828452603,30
autocorr_lag1,markov_word,0.47573478828452614,1.1102230246251565e-16,0.47573478828452603,30
autocorr_lag1,poisson_wordcounts,0.0032394173746107487,0.011713364410551512,0.004298496135457418,30
hurst,char_shuffle,0.8835893580292885,0.0017801717407491967,0.8837406940230539,30
hurst,word_shuffle,0.8810988080059415,2.220446049250313e-16,0.8810988080059418,30
hurst,markov_word,0.8810988080059415,2.220446049250313e-16,0.8810988080059418,30
hurst,poisson_wordcounts,0.5573744195709859,0.02262647917768881,0.5648217494033523,30
